link,id_apto,precio,cant_habitaciones,longitud,latitud
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-teresita/cali/6846203,6846203,6800000,3,-76.55292510986328,3.4491779804229736
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/vipasa/cali/7471032,7471032,1050000,2,-76.531982421875,3.4516468048095703
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/7653992,7653992,1100000,2,-76.50731658935547,3.371966600418091
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/salomia/cali/7656954,7656954,850000,3,-76.49868774414062,3.464604139328003
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/prados-del-norte/cali/7599378,7599378,1300000,3,-76.52098083496094,3.468752861022949
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-recuerdo/cali/7654056,7654056,700000,3,-76.51557159423828,3.430112361907959
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/san-cayetano/cali/7654733,7654733,800000,1,-76.54019927978516,3.444279670715332
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/6866658,6866658,2800000,3,-76.52061462402344,3.371664047241211
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-refugio/cali/7655294,7655294,800000,2,-76.54803466796875,3.396052598953247
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/chiminangos/cali/7657911,7657911,650000,3,-76.49199676513672,3.4790000915527344
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-guabal/cali/7691883,7691883,700000,2,-76.52597045898438,3.4153897762298584
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/aguacatal/cali/6835189,6835189,1300000,2,-76.55728149414062,3.453878879547119
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-rita/cali/7663266,7663266,1600000,3,-76.53199768066406,3.4519999027252197
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-limonar/cali/7712024,7712024,1900000,3,-76.5445785522461,3.399449110031128
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/zona-sur/cali/7658931,7658931,900000,3,-76.50103759765625,3.354836940765381
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/oeste-santa-teresita/cali/7252058,7252058,3600000,3,-76.54103088378906,3.4505722522735596
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/zona-sur/cali/7658753,7658753,1100000,3,-76.50411987304688,3.3550939559936523
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/la-independencia/cali/7599765,7599765,570000,2,-76.52100372314453,3.4159998893737793
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/la-flora/cali/7658986,7658986,1790000,3,-76.52433013916016,3.4822285175323486
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-ingenio/cali/7658139,7658139,3000000,5,-76.5270004272461,3.384999990463257
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/pance/cali/7614950,7614950,4000000,3,-76.54299926757812,3.3440001010894775
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/las-delicias/cali/7659773,7659773,850000,3,-76.50593566894531,3.461367607116699
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-cedro/cali/7658028,7658028,750000,2,-76.53700256347656,3.430000066757202
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/floralia/cali/7629204,7629204,520000,2,-76.4949722290039,3.494603157043457
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-penon/cali/7661065,7661065,3500000,2,-76.54695129394531,3.452070951461792
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/brisas-de-los-alamos/cali/7657318,7657318,1250000,2,-76.50698852539062,3.4914491176605225
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/bella-vista/cali/7648353,7648353,2950000,3,-76.55183410644531,3.4469187259674072
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/los-cristales/cali/7658467,7658467,3500000,4,-76.5499038696289,3.433678150177002
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/pance/cali/7643349,7643349,3600000,4,-76.53871154785156,3.335841655731201
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-jardin/cali/7657747,7657747,3000000,3,-76.5300064086914,3.352092981338501
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/zona-sur/cali/7658837,7658837,1250000,3,-76.50367736816406,3.3545048236846924
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/la-merced/cali/7660975,7660975,770000,2,-76.51287841796875,3.47709321975708
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/la-hacienda/cali/7658867,7658867,1200000,2,-76.52977752685547,3.395085096359253
